id,ticker,sent,msg,comment,t,/,2,0,1,8,-,1,1,-,2,6,.,c,s,v
146165302,AMD,Bullish,$AMD 19.60 EOD,,,,,,,,,,,,,,,,,
146165142,AMD,Bullish,$AMD move to 20s this week-  feel it in my left little piggy toenail.  also confirmed by green tea leaves &quot,flying duck over treetop&quot, pattern,,,,,,,,,,,,,,,
146164773,AMD,Bullish,$AMD this stock... everything will be good in 2019 🙏🏼🚀,,,,,,,,,,,,,,,,,
146164746,AMD,Bearish,$AMD Nasdaq and Dow are all tipping over.  Gonna be a crazy day!,,,,,,,,,,,,,,,,,
146164723,AMD,Bullish,$AMD sell some puts to buy calls,,,,,,,,,,,,,,,,,
146164664,AMD,Bullish,$AMD Players are accumulating.  Manipulate down and then scrape the weak shares when they can.  That&#39,s all.  Breakout when ready.,,,,,,,,,,,,,,,,
146164372,AMD,Bullish,"$NVDA NVDA is doing much better than $MU, $AMD and $CLX. It&#39;s not that weak. ",,,,,,,,,,,,,,,,,
146164293,AMD,Bullish,$AMD AMZN  poppin/ leggo,,,,,,,,,,,,,,,,,
146164147,AMD,Bullish,"$AMD Amazing how Algo managed to get volume to 34M shares in tight range,,,forcing some bulls to sell for tax loss,,,and fooling shortz,lol",,,,,,,,,,,,,,,,,
146164085,AMD,Bearish,$AMD Bounced off 15-min 200.  Goes through that and get the parachutes.,,,,,,,,,,,,,,,,,
146164061,AMD,Bullish,$AMD the lower it gets today the better climb to 22.00 tomorrow after Lisa claims that crypto has little to no impact on this.,,,,,,,,,,,,,,,,,
146163926,AMD,Bullish,$AMD last sale off,,,,,,,,,,,,,,,,,
146163625,AMD,Bullish,$AMD Buy...  MMs are going to turn it.  Back to 20.,,,,,,,,,,,,,,,,,
146163466,AMD,Bearish,$AMD you’re welcome for the cheap shares bulls they’ll keep getting cheaper for you guys to buy more!,,,,,,,,,,,,,,,,,
